desear,wünschen,
la mesa,Tisch,
libre,frei,
la terraza,Terrasse,
el marido,Ehemann,
los hijos,Kinder,
mayor,"älter, größer",
el hermano,Bruder,
menor,jünger,
los suegros,Schwiegereltern,
el yerno,Schwiegersohn,
el cuñado,Schwager,
el hijo,"Sohn, Kind",
divorciado,geschieden,
la tía,Tante,
los sobrinos,Neffen und Nichten,
el primo,Cousin,
el nieto,Enkel,
los abuelos,Großeltern,
la hija,Tochter,
el abuelo,Großvater,
la abuela,Großmutter,
el tío,Onkel,
el sobrino,Neffe,
la sobrina,Nichte,
la cara,Gesicht,
el pelo,Haar,
la boca,Mund,
el diente,Zahn,
la peca,Sommersprosse,
la oreja,Ohr,
el ojo,Auge,
corto,kurz,
rizado,gelockt,
largo,lang,
rubio,blond,
calvo,kahlköpfig,
llevar,tragen,
la barba,Bart,
el bigote,Schnurrbart,
las gafas,Brille,
bajo,"klein, niedrig",
moreno,dunkelhaarig,
alegre,fröhlich,
serio,ernst,
jubilado,pensioniert,
gordito,vollschlank,
la niña,Mädchen,
bajito,etwas klein,
el adulto,Erwachsene/r,
el niño,"Kind, Junge",
el tatuaje,Tätowierung,
ya no,nicht mehr,
viudo,verwitwet,
único,einzige/r/s,
inteligente,intelligent,
pariente,Verwandte/r,
donde,wo,
idéntico,identisch,
el bebé,Baby,
vuestro,"euer, eure",
nuestro,unser/e,
la pasión,Leidenschaft,
el perro,Hund,
el color,Farbe,
la señora,Frau,
conducir,fahren,
parecer,scheinen,
traducir,übersetzen,
poner,"setzen, stellen, legen",
caerse,hinfallen,
europeo,europäisch,
importante,wichtig,
difícil,schwierig,
la sopa,Suppe,
estresado,gestresst,
relajarse,sich entspannen,
ganar,verdienen,
rico,"reich, lecker",
la reina,Königin,
la mandarina,Mandarine,
el plátano,Banane,
la pera,Birne,
fresco,frisch,
genial,genial,
ducharse,duschen,
la cosa,"Ding, Sache",
todos los días,jeden Tag,
el periódico,Zeitung,
la revista,Zeitschrift,
lo mismo,das Gleiche,
levantarse,aufstehen,
acostarse,ins Bett gehen,
la mamá,Mama,
el videojuego,Videospiel,
qué va,ach was,
la panadería,Bäckerei,
la frutería,Obstladen,
la barra de pan,Stangenbrot,
el pan integral,Vollkornbrot,
el cruasán,Croissant,
listo,"bereit, fertig",
preparar,vorbereiten,
mientras,während,
esperar,warten,
nunca,nie,
casi,fast,
la lista,Liste,
acordarse,sich erinnern,
el lenguado,Seezunge,
caro,teuer,
llevarse,mitnehmen,
el salmón,Lachs,
el ruido,Lärm,
el pollo,Hähnchen,
la docena,Dutzend,
el huevo,Ei,
el pescado,Fisch (Essen),
la carne,Fleisch,
